,,Duplicate,Permno,Permco,,
DATA,0,,,,,
TEP,0,,,,,
CSTM,0,,,,,
ADHD,0,,,,,
AMBC,0,,,,,
CUBI,0,,,,,
DGRW,1,1,,,,
DXM,0,,,,,
EPZM,0,,,,,
GWPH,0,,,,,
COP,0,,,,,
MKTO,0,,,,,
MZOR,0,,,,,
FNBC,0,,,,,
PVH,0,,,,,
OTEL,0,,,,,
PTLA,0,,,,,
QIWI,0,,,,,
RCPT,0,,,,,
BLUE,0,,,,,
BNDX,0,,,,,
CDW,0,,,,,
DXJS,1,1,,,,
ESPR,0,,,,,
GOGO,0,,,,,
HDS,0,,,,,
NDLS,0,,,,,
NSTG,0,,,,,
OHRP,0,,,,,
PETX,0,,,,,
PTCT,0,,,,,
RNA,0,,,,,
BFOR,0,,,,,
BIOA,0,,,,,
BTG,0,,,,,
COLE,0,,,,,
COTY,0,,,,,
JPNS,0,,,,,
JPNL,0,,,,,
GIMO,0,,,,,
GTT,0,,,,,
LITB,0,,,,,
ISRA,1,1,,,,
RCAP,0,,,,,
TXTR,0,,,,,
AMGN,0,,,,,
LXFT,0,,,,,
MNK,0,,,,,
DRII,0,,,,,
QUAL,0,,,,,
JONE,0,,,,,
LIN,1,1,,,,
ONVO,0,,,,,
PSXP,0,,,,,
DOC,0,,,,,
REXR,0,,,,,
STRP,0,,,,,
UCP,1,1,,,,
WCIC,0,,,,,
AGIO,0,,,,,
CNAT,0,,,,,
AZUR,0,,,,,
FSFR,0,,,,,
OCSI,0,,,,,
MRTX,0,,,,,
OMED,0,,,,,
ONTX,0,,,,,
SALE,0,,,,,
AMH,0,,,,,
ATHL,0,,,,,
CVT,0,,,,,
MLPX,0,,,,,
IRT,0,,,,,
XON,0,,,,,
QEPM,0,,,,,
FNDE,0,,,,,
FNDF,0,,,,,
FNDX,0,,,,,
YUME,1,1,,,,
TPRE,0,,,,,
FI,0,,,,,
ASC,0,,,,,
CGIX,0,,,,,
CTRL,0,,,,,
FOXF,0,,,,,
KWEB,1,1,,,,
MBII,0,,,,,
RGDO,0,,,,,
TBRA,1,1,,,,
SFM,0,,,,,
SPHS,0,,,,,
STCK,0,,,,,
BMCH,0,,,,,
TNXP,0,,,,,
MYCC,0,,,,,
VLRS,0,,,,,
NNVC,0,,,,,
RNG,0,,,,,
REI,0,,,,,
SSLT,0,,,,,
VEDL,0,,,,,
SAIC,0,,,,,
VMEM,0,,,,,
CNHI,0,,,,,
AAOI,0,,,,,
BIND,0,,,,,
BNFT,0,,,,,
CPTA,1,1,,,,
ENZY,0,,,,,
FEYE,0,,,,,
FMI,0,,,,,
FPRX,0,,,,,
FUEL,0,,,,,
MONT,0,,,,,
NVEE,0,,,,,
OPHT,0,,,,,
PEGI,0,,,,,
PINC,0,,,,,
SQBG,0,,,,,
XLRN,0,,,,,
DOOR,0,,,,,
AR,0,,,,,
BRX,0,,,,,
BURL,0,,,,,
CXP,0,,,,,
CPS,0,,,,,
DBEU,1,1,,,,
JDST,0,,,,,
JNUG,0,,,,,
ESRT,0,,,,,
ALOG,0,,,,,
FENY,0,,,,,
FNCL,0,,,,,
FHLC,0,,,,,
FTEC,0,,,,,
FMAT,0,,,,,
WUBA,0,,,,,
SHYG,0,,,,,
MMI,0,,,,,
OCIP,0,,,,,
PAGP,0,,,,,
NOBL,0,,,,,
QTS,0,,,,,
RMAX,0,,,,,
ANEN,0,,,,,
SRLP,0,,,,,
LEAF,0,,,,,
OMF,0,,,,,
VEEV,0,,,,,
VJET,0,,,,,
WNRL,0,,,,,
ESNT,0,,,,,
ADXS,0,,,,,
AERI,0,,,,,
COMM,0,,,,,
CRTO,0,,,,,
EIGI,0,,,,,
FATE,0,,,,,
FTD,0,,,,,
GLPI,1,1,,,,
ICLD,0,,,,,
LDRH,0,,,,,
MGNX,0,,,,,
PBPB,0,,,,,
ROBO,1,1,,,,
SCAI,1,1,,,,
SFXE,0,,,,,
SRNE,0,,,,,
VCYT,0,,,,,
AMZG,0,,,,,
AHP,0,,,,,
CUDA,0,,,,,
CANF,0,,,,,
CHGG,0,,,,,
TCS,0,,,,,
ASHR,1,1,,,,
KODK,0,,,,,
SLB,0,,,,,
STAY,0,,,,,
WBAI,0,,,,,
JGW,0,,,,,
LBMH,0,,,,,
MEP,0,,,,,
TWTR,0,,,,,
VNCE,0,,,,,
ALLE,0,,,,,
EROS,0,,,,,
NVGS,0,,,,,
CACQ,0,,,,,
CPXX,0,,,,,
DLNG,0,,,,,
GOMO,0,,,,,
HMHC,0,,,,,
KPTI,0,,,,,
LGIH,0,,,,,
NMIH,0,,,,,
QUNR,0,,,,,
RLYP,0,,,,,
TNDM,0,,,,,
WIX,0,,,,,
ZU,1,1,,,,
